Z,element,mass,electronegativity,row,group,mendeleev_no,character,atomic_radii,0_subshell_symmetry,0_subshell_energy,0_subshell_occupancy,1_subshell_symmetry,1_subshell_energy,1_subshell_occupancy,2_subshell_symmetry,2_subshell_energy,2_subshell_occupancy
1,H,1.00794,2.2,1,1,103.0,s,0.25,s,-0.233471,0.5,e,0.0,0.0,e,0.0,0.0
2,He,4.002602,inf,1,18,1.0,p,,s,-0.570425,1.0,e,0.0,0.0,e,0.0,0.0
3,Li,6.941,0.98,2,1,12.0,s,1.45,s,-0.10554,0.5,s,-1.878564,1.0,e,0.0,0.0
4,Be,9.012182,1.57,2,2,77.0,s,1.05,s,-0.205744,1.0,s,-3.856411,1.0,e,0.0,0.0
5,B,10.811,2.04,2,13,86.0,p,0.85,p,-0.136603,0.16666666666666666,s,-0.344701,1.0,s,-6.564347,1.0
6,C,12.0107,2.55,2,14,95.0,p,0.7,p,-0.199186,0.3333333333333333,s,-0.500866,1.0,s,-9.947718,1.0
7,N,14.0067,3.04,2,15,100.0,p,0.65,p,-0.266297,0.5,s,-0.676151,1.0,s,-14.011501,1.0
8,O,15.9994,3.44,2,16,101.0,p,0.6,p,-0.338381,0.6666666666666666,s,-0.871362,1.0,s,-18.758245,1.0
9,F,18.9984032,3.98,2,17,102.0,p,0.5,p,-0.415606,0.8333333333333334,s,-1.086859,1.0,s,-24.189391,1.0
10,Ne,20.1797,inf,2,18,2.0,p,,p,-0.498034,1.0,s,-1.322809,1.0,s,-30.305855,1.0
11,Na,22.98976928,0.93,3,1,11.0,s,1.8,s,-0.103415,0.5,p,-1.060636,1.0,s,-2.063401,1.0
12,Mg,24.305,1.31,3,2,73.0,s,1.5,s,-0.175427,1.0,p,-1.71897,1.0,s,-2.903746,1.0
13,Al,26.9815386,1.61,3,13,80.0,p,1.25,p,-0.102545,0.16666666666666666,s,-0.286883,1.0,p,-2.564018,1.0
14,Si,28.0855,1.9,3,14,85.0,p,1.1,p,-0.153293,0.3333333333333333,s,-0.398139,1.0,p,-3.514938,1.0
15,P,30.973762,2.19,3,15,90.0,p,1.0,p,-0.20608,0.5,s,-0.512364,1.0,p,-4.576617,1.0
16,S,32.065,2.58,3,16,94.0,p,1.0,p,-0.261676,0.6666666666666666,s,-0.630912,1.0,p,-5.751257,1.0
17,Cl,35.453,3.16,3,17,99.0,p,1.0,p,-0.32038,0.8333333333333334,s,-0.754458,1.0,p,-7.039982,1.0
18,Ar,39.948,inf,3,18,3.0,p,0.71,p,-0.38233,1.0,s,-0.883384,1.0,p,-8.443439,1.0
19,K,39.0983,0.82,4,1,10.0,s,2.2,s,-0.088815,0.5,p,-0.693776,1.0,s,-1.281897,1.0
20,Ca,40.078,1.0,4,2,16.0,s,1.8,s,-0.141411,1.0,p,-1.030572,1.0,s,-1.706331,1.0
21,Sc,44.955912,1.36,4,3,19.0,d,1.6,d,-0.13108,0.1,s,-0.156478,1.0,p,-1.233165,1.0
22,Ti,47.867,1.54,4,4,51.0,d,1.4,s,-0.167106,1.0,d,-0.17001,0.2,p,-1.422947,1.0
23,V,50.9415,1.63,4,5,54.0,d,1.35,s,-0.175968,1.0,d,-0.204634,0.3,p,-1.610516,1.0
24,Cr,51.9961,1.66,4,6,57.0,d,1.4,d,-0.118123,0.5,s,-0.150445,0.5,p,-1.65423,1.0
25,Mn,54.938045,1.55,4,7,60.0,d,1.4,s,-0.191136,1.0,d,-0.26654,0.5,p,-1.99145,1.0
26,Fe,55.845,1.83,4,8,61.0,d,1.4,s,-0.197978,1.0,d,-0.295049,0.6,p,-2.187523,1.0
27,Co,58.933195,1.88,4,9,64.0,d,1.35,s,-0.204497,1.0,d,-0.322368,0.7,p,-2.388285,1.0
28,Ni,58.6934,1.91,4,10,67.0,d,1.35,s,-0.210764,1.0,d,-0.348699,0.8,p,-2.594158,1.0
29,Cu,63.546,1.9,4,11,72.0,d,1.35,s,-0.172056,0.5,d,-0.202272,1.0,p,-2.609244,1.0
30,Zn,65.409,1.65,4,12,76.0,d,1.35,s,-0.222725,1.0,d,-0.398944,1.0,p,-3.022363,1.0
31,Ga,69.723,1.81,4,13,81.0,p,1.3,p,-0.101634,0.16666666666666666,s,-0.328019,1.0,d,-0.736204,1.0
32,Ge,72.64,2.01,4,14,84.0,p,1.25,p,-0.149882,0.3333333333333333,s,-0.426523,1.0,d,-1.117316,1.0
33,As,74.9216,2.18,4,15,89.0,p,1.15,p,-0.197497,0.5,s,-0.52367,1.0,d,-1.542767,1.0
34,Se,78.96,2.55,4,16,93.0,p,1.15,p,-0.245806,0.6666666666666666,s,-0.621248,1.0,d,-2.011392,1.0
35,Br,79.904,2.96,4,17,98.0,p,1.15,p,-0.295334,0.8333333333333334,s,-0.720066,1.0,d,-2.52211,1.0
36,Kr,83.798,3.0,4,18,4.0,p,,p,-0.34634,1.0,s,-0.820574,1.0,d,-3.074109,1.0
37,Rb,85.4678,0.82,5,1,9.0,s,2.35,s,-0.085375,0.5,p,-0.59217,1.0,s,-1.135051,1.0
38,Sr,87.62,0.95,5,2,15.0,s,2.0,s,-0.131793,1.0,p,-0.844489,1.0,s,-1.455317,1.0
39,Y,88.90585,1.22,5,3,25.0,d,1.8,d,-0.108691,0.1,s,-0.150727,1.0,p,-1.02449,1.0
40,Zr,91.224,1.33,5,4,49.0,d,1.55,d,-0.150673,0.2,s,-0.162391,1.0,p,-1.186597,1.0
41,Nb,92.90638,1.6,5,5,53.0,d,1.45,d,-0.125252,0.4,s,-0.144272,0.5,p,-1.250049,1.0
42,Mo,95.94,2.16,5,6,56.0,d,1.45,s,-0.14788,0.5,d,-0.153347,0.5,p,-1.39005,1.0
43,Tc,98.0,1.9,5,7,59.0,d,1.35,s,-0.183636,1.0,d,-0.270262,0.5,p,-1.64323,1.0
44,Ru,101.07,2.2,5,8,62.0,d,1.3,s,-0.152834,0.5,d,-0.210375,0.7,p,-1.667549,1.0
45,Rh,102.9055,2.28,5,9,65.0,d,1.35,s,-0.154624,0.5,d,-0.239422,0.8,p,-1.806456,1.0
46,Pd,106.42,2.2,5,10,69.0,d,1.4,d,-0.160771,1.0,p,-1.815215,1.0,s,-2.889173,1.0
47,Ag,107.8682,1.93,5,11,71.0,d,1.6,s,-0.157407,0.5,d,-0.298706,1.0,p,-2.086602,1.0
48,Cd,112.411,1.69,5,12,75.0,d,1.55,s,-0.204228,1.0,d,-0.47053,1.0,p,-2.39526,1.0
49,In,114.818,1.78,5,13,79.0,p,1.55,p,-0.101782,0.16666666666666666,s,-0.290497,1.0,d,-0.730481,1.0
50,Sn,118.71,1.96,5,14,83.0,p,1.45,p,-0.14445,0.3333333333333333,s,-0.369349,1.0,d,-1.004952,1.0
51,Sb,121.76,2.05,5,15,88.0,p,1.45,p,-0.185623,0.5,s,-0.445605,1.0,d,-1.297338,1.0
