Z,mass,electronegativity,row,group,mendeleev_no,atomic_radii,0_subshell_energy,0_subshell_occupancy,1_subshell_energy,1_subshell_occupancy,2_subshell_energy,2_subshell_occupancy,character_d,character_f,character_p,character_s,0_subshell_symmetry_d,0_subshell_symmetry_p,0_subshell_symmetry_s,1_subshell_symmetry_d,1_subshell_symmetry_e,1_subshell_symmetry_f,1_subshell_symmetry_p,1_subshell_symmetry_s,2_subshell_symmetry_d,2_subshell_symmetry_e,2_subshell_symmetry_f,2_subshell_symmetry_p,2_subshell_symmetry_s,element
1,1.00794,2.2,1,1,103.0,0.25,-0.233471,0.5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,H
2,4.0026019999999995,inf,1,18,1.0,,-0.570425,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,He
3,6.941,0.98,2,1,12.0,1.45,-0.10554000000000001,0.5,-1.878564,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,Li
4,9.012182000000001,1.57,2,2,77.0,1.05,-0.205744,1.0,-3.856411,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,Be
5,10.811,2.04,2,13,86.0,0.85,-0.136603,0.16666666666666666,-0.34470100000000004,1.0,-6.564347,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,B
6,12.0107,2.55,2,14,95.0,0.7,-0.199186,0.3333333333333333,-0.500866,1.0,-9.947718,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,C
7,14.0067,3.04,2,15,100.0,0.65,-0.266297,0.5,-0.6761510000000001,1.0,-14.011501,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,N
8,15.9994,3.44,2,16,101.0,0.6,-0.338381,0.6666666666666666,-0.8713620000000001,1.0,-18.758245000000002,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,O
9,18.998403200000002,3.98,2,17,102.0,0.5,-0.41560600000000003,0.8333333333333334,-1.086859,1.0,-24.189391,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,F
10,20.1797,inf,2,18,2.0,,-0.49803400000000003,1.0,-1.3228090000000001,1.0,-30.305854999999998,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,Ne
11,22.98976928,0.93,3,1,11.0,1.8,-0.103415,0.5,-1.0606360000000001,1.0,-2.063401,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Na
12,24.305,1.31,3,2,73.0,1.5,-0.175427,1.0,-1.71897,1.0,-2.903746,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Mg
13,26.9815386,1.61,3,13,80.0,1.25,-0.10254500000000001,0.16666666666666666,-0.286883,1.0,-2.564018,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Al
14,28.0855,1.9,3,14,85.0,1.1,-0.153293,0.3333333333333333,-0.39813899999999997,1.0,-3.514938,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Si
15,30.973762,2.19,3,15,90.0,1.0,-0.20608,0.5,-0.512364,1.0,-4.576617,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,P
16,32.065,2.58,3,16,94.0,1.0,-0.261676,0.6666666666666666,-0.630912,1.0,-5.751257,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,S
17,35.453,3.16,3,17,99.0,1.0,-0.32038,0.8333333333333334,-0.754458,1.0,-7.039982000000001,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Cl
18,39.948,inf,3,18,3.0,0.71,-0.38233,1.0,-0.8833840000000001,1.0,-8.443439,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Ar
19,39.0983,0.82,4,1,10.0,2.2,-0.08881499999999999,0.5,-0.6937760000000001,1.0,-1.2818969999999998,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,K
20,40.078,1.0,4,2,16.0,1.8,-0.14141099999999998,1.0,-1.030572,1.0,-1.706331,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Ca
21,44.955912,1.36,4,3,19.0,1.6,-0.13108,0.1,-0.156478,1.0,-1.233165,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Sc
22,47.867,1.54,4,4,51.0,1.4,-0.167106,1.0,-0.17001,0.2,-1.422947,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Ti
23,50.9415,1.63,4,5,54.0,1.35,-0.175968,1.0,-0.20463399999999998,0.3,-1.610516,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,V
24,51.9961,1.66,4,6,57.0,1.4,-0.118123,0.5,-0.150445,0.5,-1.6542299999999999,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Cr
25,54.938044999999995,1.55,4,7,60.0,1.4,-0.191136,1.0,-0.26654,0.5,-1.99145,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Mn
26,55.845,1.83,4,8,61.0,1.4,-0.197978,1.0,-0.295049,0.6,-2.187523,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Fe
27,58.933195,1.88,4,9,64.0,1.35,-0.204497,1.0,-0.322368,0.7,-2.3882849999999998,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Co
28,58.6934,1.91,4,10,67.0,1.35,-0.21076399999999998,1.0,-0.348699,0.8,-2.594158,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Ni
29,63.54600000000001,1.9,4,11,72.0,1.35,-0.172056,0.5,-0.202272,1.0,-2.609244,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Cu
30,65.40899999999999,1.65,4,12,76.0,1.35,-0.222725,1.0,-0.398944,1.0,-3.022363,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Zn
31,69.723,1.81,4,13,81.0,1.3,-0.101634,0.16666666666666666,-0.328019,1.0,-0.736204,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Ga
32,72.64,2.01,4,14,84.0,1.25,-0.149882,0.3333333333333333,-0.42652299999999993,1.0,-1.117316,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Ge
33,74.9216,2.18,4,15,89.0,1.15,-0.197497,0.5,-0.52367,1.0,-1.542767,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,As
34,78.96,2.55,4,16,93.0,1.15,-0.245806,0.6666666666666666,-0.6212479999999999,1.0,-2.011392,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Se
35,79.904,2.96,4,17,98.0,1.15,-0.29533400000000004,0.8333333333333334,-0.720066,1.0,-2.52211,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Br
36,83.79799999999999,3.0,4,18,4.0,,-0.34634000000000004,1.0,-0.820574,1.0,-3.074109,1.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Kr
37,85.4678,0.82,5,1,9.0,2.35,-0.085375,0.5,-0.59217,1.0,-1.135051,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Rb
38,87.62,0.95,5,2,15.0,2.0,-0.131793,1.0,-0.8444889999999999,1.0,-1.455317,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,Sr
39,88.90585,1.22,5,3,25.0,1.8,-0.10869100000000001,0.1,-0.150727,1.0,-1.02449,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Y
40,91.22399999999999,1.33,5,4,49.0,1.55,-0.150673,0.2,-0.162391,1.0,-1.186597,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Zr
41,92.90638,1.6,5,5,53.0,1.45,-0.125252,0.4,-0.144272,0.5,-1.250049,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Nb
